Rank,Release Group,Worldwide,Domestic,%,Foreign,%
40,Any Given Sunday,"$100,230,832","$75,530,832",75.4%,"$24,700,000",24.6%
41,Bowfinger,"$98,625,775","$66,384,775",67.3%,"$32,241,000",32.7%
42,8MM,"$96,618,699","$36,663,315",37.9%,"$59,955,384",62.1%
43,Forces of Nature,"$93,900,680","$52,900,680",56.3%,"$41,000,000",43.7%
44,Deuce Bigalow: Male Gigolo,"$92,938,755","$65,538,755",70.5%,"$27,400,000",29.5%
45,Galaxy Quest,"$90,683,916","$71,583,916",78.9%,"$19,100,000",21.1%
46,Stigmata,"$89,446,268","$50,046,268",56%,"$39,400,000",44%
47,The Cider House Rules,"$88,545,092","$57,545,092",65%,"$31,000,000",35%
48,Bicentennial Man,"$87,423,861","$58,223,861",66.6%,"$29,200,000",33.4%
49,Never Been Kissed,"$84,565,230","$55,474,756",65.6%,"$29,090,474",34.4%
50,"South Park: Bigger, Longer & Uncut","$83,137,603","$52,037,603",62.6%,"$31,100,000",37.4%
51,Cruel Intentions,"$75,902,208","$38,328,567",50.5%,"$37,573,641",49.5%
52,Random Hearts,"$74,608,570","$31,502,583",42.2%,"$43,105,987",57.8%
53,The Hurricane,"$73,956,241","$50,699,241",68.6%,"$23,257,000",31.4%
54,Life,"$73,475,268","$64,016,268",87.1%,"$9,459,000",12.9%
55,All About My Mother,"$67,872,296","$8,272,296",12.2%,"$59,600,000",87.8%
56,The Messenger: The Story of Joan of Arc,"$66,976,317","$14,276,317",21.3%,"$52,700,000",78.7%
57,The 13th Warrior,"$61,698,899","$32,698,899",53%,"$29,000,000",47%
58,The Insider,"$60,289,912","$29,089,912",48.3%,"$31,200,000",51.7%
59,The Story of Us,"$58,900,031","$27,100,031",46%,"$31,800,000",54%
60,Lake Placid,"$56,870,414","$31,770,414",55.9%,"$25,100,000",44.1%
61,Varsity Blues,"$54,294,169","$52,894,169",97.4%,"$1,400,000",2.6%
62,Mickey Blue Eyes,"$54,264,342","$33,864,342",62.4%,"$20,400,000",37.6%
63,10 Things I Hate About You,"$53,478,166","$38,178,166",71.4%,"$15,300,000",28.6%
64,Magnolia,"$48,451,803","$22,455,976",46.3%,"$25,995,827",53.7%
65,"Girl, Interrupted","$48,350,205","$28,912,646",59.8%,"$19,437,559",40.2%
66,Man on the Moon,"$47,434,430","$34,607,430",73%,"$12,827,000",27%
67,For Love of the Game,"$46,112,640","$35,188,640",76.3%,"$10,924,000",23.7%
68,House on Haunted Hill,"$42,593,455","$40,846,082",95.9%,"$1,747,373",4.1%
69,Arlington Road,"$41,067,311","$24,756,177",60.3%,"$16,311,134",39.7%
70,Blast from the Past,"$40,263,020","$26,511,114",65.8%,"$13,751,906",34.2%
71,Encounter in the Third Dimension,"$38,171,557","$7,195,792",18.9%,"$30,975,765",81.1%
72,The Bachelor,"$36,911,617","$21,760,240",59%,"$15,151,377",41%
73,My Favorite Martian,"$36,850,101","$36,850,101",100%,-,-
74,Baby Geniuses,"$36,450,736","$27,250,736",74.8%,"$9,200,000",25.2%
75,Edtv,"$35,242,897","$22,431,897",63.6%,"$12,811,000",36.4%
76,October Sky,"$34,698,685","$32,570,685",93.9%,"$2,128,000",6.1%
77,The Best Man,"$34,573,780","$34,102,780",98.6%,"$471,000",1.4%
78,Instinct,"$34,105,207","$34,105,207",100%,-,-
79,Mystery Men,"$33,461,011","$29,762,011",88.9%,"$3,699,000",11.1%
80,Dogma,"$31,117,471","$30,652,890",98.5%,"$464,581",1.5%
81,Virus,"$30,652,005","$14,036,005",45.8%,"$16,616,000",54.2%
82,Superstar,"$30,636,478","$30,636,478",100%,-,-
83,Galapagos,"$29,349,172","$18,630,372",63.5%,"$10,718,800",36.5%
84,The Out-of-Towners,"$28,544,120","$28,544,120",100%,-,-
85,Go,"$28,451,622","$16,943,454",59.6%,"$11,508,168",40.4%
86,The Deep End of the Ocean,"$28,121,100","$13,898,649",49.4%,"$14,222,451",50.6%
87,The Other Sister,"$27,807,627","$27,807,627",100%,-,-
88,The Wood,"$25,059,640","$25,059,640",100%,-,-
89,The Corruptor,"$24,493,601","$15,164,492",61.9%,"$9,329,109",38.1%
90,Alien Adventure,"$24,074,680","$8,959,784",37.2%,"$15,114,896",62.8%
91,Anywhere But Here,"$23,631,929","$18,670,401",79%,"$4,961,528",21%
92,The Iron Giant,"$23,159,305","$23,159,305",100%,-,-
93,Being John Malkovich,"$23,106,667","$22,863,596",98.9%,"$243,071",1.1%
94,Snow Falling on Cedars,"$23,049,593","$14,417,593",62.6%,"$8,632,000",37.4%
95,Buena Vista Social Club,"$23,002,182","$7,002,182",30.4%,"$16,000,000",69.6%
96,Drive Me Crazy,"$22,593,409","$17,845,337",79%,"$4,748,072",21%
97,At First Sight,"$22,365,133","$22,365,133",100%,-,-
98,Muppets from Space,"$22,323,612","$16,625,807",74.5%,"$5,697,805",25.5%
99,Stir of Echoes,"$21,142,914","$21,142,914",100%,-,-
100,The Legend of 1900,"$20,678,716","$167,435",0.8%,"$20,511,281",99.2%
101,The Astronaut's Wife,"$19,598,588","$10,672,566",54.5%,"$8,926,022",45.5%
102,Doug's 1st Movie,"$19,440,089","$19,440,089",100%,-,-
103,Summer of Sam,"$19,288,130","$19,288,130",100%,-,-
104,The Thirteenth Floor,"$18,564,088","$11,916,661",64.2%,"$6,647,427",35.8%
105,An Ideal Husband,"$18,542,974","$18,542,974",100%,-,-
106,The Rage: Carrie 2,"$17,762,705","$17,762,705",100%,-,-
107,Eye of the Beholder,"$17,589,705","$16,500,786",93.8%,"$1,088,919",6.2%
108,Bringing Out the Dead,"$16,797,191","$16,797,191",100%,-,-
109,Extreme,"$16,653,175","$12,475,172",74.9%,"$4,178,003",25.1%
110,True Crime,"$16,649,768","$16,649,768",100%,-,-
111,A Midsummer Night's Dream,"$16,071,990","$16,071,990",100%,-,-
112,Election,"$14,902,041","$14,902,041",100%,-,-
113,Music of the Heart,"$14,859,394","$14,859,394",100%,-,-
114,Tea with Mussolini,"$14,401,563","$14,401,563",100%,-,-
115,In Too Deep,"$14,011,454","$14,011,454",100%,-,-
116,The Mod Squad,"$13,263,993","$13,263,993",100%,-,-
117,Angela's Ashes,"$13,042,112","$13,042,112",100%,-,-
118,Sun Alley,"$12,891,924",-,-,"$12,891,924",100%
119,The Omega Code,"$12,614,346","$12,614,346",100%,-,-
120,Black Mask,"$12,504,289","$12,504,289",100%,-,-
121,In Dreams,"$12,017,369","$12,017,369",100%,-,-
122,The King and I,"$11,993,021","$11,993,021",100%,-,-
123,Chill Factor,"$11,788,676","$11,263,966",95.5%,"$524,710",4.5%
124,The Adventures of Elmo in Grouchland,"$11,683,047","$11,683,047",100%,-,-
125,The Muse,"$11,614,954","$11,614,954",100%,-,-
126,Wing Commander,"$11,578,059","$11,578,059",100%,-,-
127,Boys Don't Cry,"$11,540,607","$11,540,607",100%,-,-
128,Cookie's Fortune,"$10,920,544","$10,920,544",100%,-,-
129,The End of the Affair,"$10,827,816","$10,827,816",100%,-,-
130,Office Space,"$10,827,810","$10,827,810",100%,-,-
131,Universal Soldier: The Return,"$10,667,893","$10,667,893",100%,-,-
132,Island of the Sharks,"$10,658,505","$10,658,505",100%,-,-
133,Drop Dead Gorgeous,"$10,571,408","$10,571,408",100%,-,-
134,Three to Tango,"$10,570,375","$10,570,375",100%,-,-
135,Bats,"$10,155,690","$10,155,690",100%,-,-
136,Brokedown Palace,"$10,115,013","$10,115,013",100%,-,-
137,Dudley Do-Right,"$9,974,410","$9,974,410",100%,-,-
138,The Love Letter,"$9,139,145","$8,302,478",90.8%,"$836,667",9.2%
139,Trippin',"$9,017,070","$9,017,070",100%,-,-
140,Teaching Mrs. Tingle,"$8,951,935","$8,951,935",100%,-,-
141,"Mystery, Alaska","$8,891,623","$8,891,623",100%,-,-
142,Play It to the Bone,"$8,678,812","$8,434,146",97.2%,"$244,666",2.8%
143,Pushing Tin,"$8,408,835","$8,408,835",100%,-,-
144,Twin Dragons,"$8,359,717","$8,359,717",100%,-,-
145,Sunshine,"$7,607,860","$5,096,267",67%,"$2,511,593",33%
146,Outside Providence,"$7,302,522","$7,302,522",100%,-,-
147,Run Lola Run,"$7,267,585","$7,267,585",100%,-,-
148,200 Cigarettes,"$6,852,450","$6,852,450",100%,-,-
149,Lost & Found,"$6,552,255","$6,552,255",100%,-,-
150,The Straight Story,"$6,416,325","$6,203,044",96.7%,"$213,281",3.3%
151,Dick,"$6,262,878","$6,262,878",100%,-,-
152,Topsy-Turvy,"$6,208,548","$6,208,548",100%,-,-
153,Foolish,"$6,033,999","$6,033,999",100%,-,-
154,Light It Up,"$5,985,690","$5,985,690",100%,-,-
155,Siegfried & Roy: The Magic Box,"$5,231,283","$5,231,283",100%,-,-
156,Jakob the Liar,"$4,956,401","$4,956,401",100%,-,-
157,Wolves,"$4,811,282","$4,811,282",100%,-,-
158,Mansfield Park,"$4,775,847","$4,775,847",100%,-,-
159,A Walk on the Moon,"$4,750,660","$4,750,660",100%,-,-
160,Mumford,"$4,555,459","$4,555,459",100%,-,-
161,Sweet and Lowdown,"$4,525,794","$4,197,015",92.7%,"$328,779",7.3%
162,Flawless,"$4,488,529","$4,488,529",100%,-,-
163,Simply Irresistible,"$4,398,989","$4,398,989",100%,-,-
164,Detroit Rock City,"$4,217,115","$4,217,115",100%,-,-
165,Gloria,"$4,197,729","$4,197,729",100%,-,-
166,Idle Hands,"$4,152,230","$4,152,230",100%,-,-
167,Le Dîner de Cons,"$4,071,548","$4,071,548",100%,-,-
168,Playing by Heart,"$3,970,078","$3,970,078",100%,-,-
169,The Winslow Boy,"$3,957,934","$3,957,934",100%,-,-
170,"Lock, Stock and Two Smoking Barrels","$3,753,929","$3,753,929",100%,-,-
171,Liberty Heights,"$3,736,868","$3,736,868",100%,-,-
172,Fifty,"$3,328,240","$3,328,240",100%,-,-
173,Elvis Gratton II: Miracle à Memphis,"$3,316,272","$3,316,272",100%,-,-
174,Train of Life,"$3,311,162","$98,687",3%,"$3,212,475",97%
175,The Limey,"$3,204,663","$3,204,663",100%,-,-
176,Jawbreaker,"$3,117,085","$3,117,085",100%,-,-
177,Love Stinks,"$2,924,635","$2,924,635",100%,-,-
178,Cradle Will Rock,"$2,903,404","$2,903,404",100%,-,-
179,eXistenZ,"$2,856,712","$2,856,712",100%,-,-
180,Autumn Tale,"$2,215,467","$2,205,339",99.5%,"$10,128",0.5%
181,A Dog of Flanders,"$2,165,637","$2,165,637",100%,-,-
182,Limbo,"$2,160,710","$2,160,710",100%,-,-
183,Trick,"$2,087,228","$2,087,228",100%,-,-
184,Ravenous,"$2,062,405","$2,062,405",100%,-,-
185,Beyond the Mat,"$2,053,648","$2,053,648",100%,-,-
186,Besieged,"$2,048,740","$2,048,740",100%,-,-
187,Wildfire: Feel the Heat,"$2,040,635","$2,040,635",100%,-,-
188,Three Seasons,"$2,021,698","$2,021,698",100%,-,-
189,Taal,"$2,020,532","$2,020,532",100%,-,-
190,Better Than Chocolate,"$2,015,406","$2,015,406",100%,-,-
191,Titus,"$2,007,290","$2,007,290",100%,-,-
192,Crazy in Alabama,"$2,005,840","$2,005,840",100%,-,-
193,Hum Saath-Saath Hain,"$2,005,094","$2,005,094",100%,-,-
194,"Happy, Texas","$1,955,933","$1,955,933",100%,-,-
195,Goodbye Lover,"$1,940,299","$1,940,299",100%,-,-
196,Tango,"$1,897,948","$1,897,948",100%,-,-
197,Holy Smoke,"$1,765,545","$1,765,545",100%,-,-
198,The Dreamlife of Angels,"$1,726,567","$1,726,567",100%,-,-
199,Romance,"$1,585,642","$1,585,642",100%,-,-
200,Asterix and Obelix vs. Caesar,"$1,541,261","$1,541,261",100%,-,-
1,Mission: Impossible II,"$546,388,108","$215,409,889",39.4%,"$330,978,219",60.6%
2,Gladiator,"$460,583,960","$187,705,427",40.8%,"$272,878,533",59.2%
3,Cast Away,"$429,632,142","$233,632,142",54.4%,"$196,000,000",45.6%
4,What Women Want,"$374,111,707","$182,811,707",48.9%,"$191,300,000",51.1%
5,Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%
6,How the Grinch Stole Christmas,"$345,141,403","$260,044,825",75.3%,"$85,096,578",24.7%
7,Meet the Parents,"$330,444,045","$166,244,045",50.3%,"$164,200,000",49.7%
8,The Perfect Storm,"$328,718,434","$182,618,434",55.6%,"$146,100,000",44.4%
9,X-Men,"$296,339,528","$157,299,718",53.1%,"$139,039,810",46.9%
10,What Lies Beneath,"$291,420,351","$155,464,351",53.3%,"$135,956,000",46.7%
11,Scary Movie,"$278,019,771","$157,019,771",56.5%,"$121,000,000",43.5%
12,Charlie's Angels,"$264,105,545","$125,305,545",47.4%,"$138,800,000",52.6%
13,Erin Brockovich,"$256,271,286","$125,595,205",49%,"$130,676,081",51%
14,Unbreakable,"$248,118,121","$95,011,339",38.3%,"$153,106,782",61.7%
15,Gone in 60 Seconds,"$237,202,299","$101,648,571",42.9%,"$135,553,728",57.1%
16,Chicken Run,"$224,834,564","$106,834,564",47.5%,"$118,000,000",52.5%
17,Vertical Limit,"$215,663,859","$69,243,859",32.1%,"$146,420,000",67.9%
18,The Patriot,"$215,294,342","$113,330,342",52.6%,"$101,964,000",47.4%
19,"Crouching Tiger, Hidden Dragon","$213,525,736","$128,078,872",60%,"$85,446,864",40%
20,Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%
21,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%
22,Hollow Man,"$190,213,455","$73,209,340",38.5%,"$117,004,115",61.5%
23,102 Dalmatians,"$183,611,771","$66,957,026",36.5%,"$116,654,745",63.5%
24,Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%
25,The Emperor's New Groove,"$169,327,687","$89,302,687",52.7%,"$80,025,000",47.3%
26,Nutty Professor II: The Klumps,"$166,339,890","$123,309,890",74.1%,"$43,030,000",25.9%
27,Scream 3,"$161,834,276","$89,143,175",55.1%,"$72,691,101",44.9%
28,Chocolat,"$152,699,946","$71,509,363",46.8%,"$81,190,583",53.2%
29,"Me, Myself & Irene","$149,270,999","$90,570,999",60.7%,"$58,700,000",39.3%
30,The Beach,"$144,056,873","$39,785,027",27.6%,"$104,271,846",72.4%
31,Remember the Titans,"$136,706,683","$115,654,751",84.6%,"$21,051,932",15.4%
32,Pokémon the Movie 2000,"$133,949,270","$43,758,684",32.7%,"$90,190,586",67.3%
33,Space Cowboys,"$128,884,132","$90,464,773",70.2%,"$38,419,359",29.8%
34,U-571,"$127,666,415","$77,122,415",60.4%,"$50,544,000",39.6%
35,The Family Man,"$124,745,083","$75,793,305",60.8%,"$48,951,778",39.2%
36,Road Trip,"$119,754,278","$68,540,777",57.2%,"$51,213,501",42.8%
37,Coyote Ugly,"$113,916,474","$60,786,269",53.4%,"$53,130,205",46.6%
38,Final Destination,"$112,880,294","$53,331,147",47.2%,"$59,549,147",52.8%
39,The Exorcist 2000 Director's Cut,"$112,053,066","$39,671,011",35.4%,"$72,382,055",64.6%
40,Mission to Mars,"$110,983,407","$60,883,407",54.9%,"$50,100,000",45.1%
41,The Kid,"$110,317,580","$69,691,949",63.2%,"$40,625,631",36.8%
42,Billy Elliot,"$109,280,263","$21,995,263",20.1%,"$87,285,000",79.9%
43,Shaft,"$107,196,498","$70,334,258",65.6%,"$36,862,240",34.4%
44,The Whole Nine Yards,"$106,371,651","$57,262,492",53.8%,"$49,109,159",46.2%
45,The Cell,"$104,155,843","$61,334,059",58.9%,"$42,821,784",41.1%
46,Rugrats in Paris,"$103,291,131","$76,507,756",74.1%,"$26,783,375",25.9%
47,Shanghai Noon,"$99,274,467","$56,937,502",57.4%,"$42,336,965",42.6%
48,The Tigger Movie,"$96,159,800","$45,554,533",47.4%,"$50,605,267",52.6%
49,The 6th Day,"$96,085,477","$34,604,280",36%,"$61,481,197",64%
50,Romeo Must Die,"$91,036,760","$55,973,336",61.5%,"$35,063,424",38.5%
51,Fantasia 2000,"$90,874,570","$60,655,420",66.7%,"$30,219,150",33.3%
52,Autumn in New York,"$90,726,668","$37,761,915",41.6%,"$52,964,753",58.4%
53,Bring It On,"$90,449,929","$68,379,000",75.6%,"$22,070,929",24.4%
54,Bedazzled,"$90,383,208","$37,886,980",41.9%,"$52,496,228",58.1%
55,Snatch,"$83,557,872","$30,328,156",36.3%,"$53,229,716",63.7%
56,Men of Honor,"$82,343,495","$48,818,921",59.3%,"$33,524,574",40.7%
57,Finding Forrester,"$80,049,764","$51,804,714",64.7%,"$28,245,050",35.3%
58,The Road to El Dorado,"$76,432,727","$50,863,742",66.5%,"$25,568,985",33.5%
59,"Dude, Where's My Car?","$73,180,723","$46,729,800",63.9%,"$26,450,923",36.1%
60,"O Brother, Where Art Thou?","$71,868,327","$45,512,588",63.3%,"$26,355,739",36.7%
61,Rules of Engagement,"$71,732,303","$61,335,230",85.5%,"$10,397,073",14.5%
62,Frequency,"$68,106,245","$45,010,278",66.1%,"$23,095,967",33.9%
63,Thirteen Days,"$66,579,890","$34,592,089",52%,"$31,987,801",48%
64,Proof of Life,"$62,761,005","$32,598,931",51.9%,"$30,162,074",48.1%
65,Snow Day,"$62,464,731","$60,020,107",96.1%,"$2,444,624",3.9%
66,28 Days,"$62,198,945","$37,170,488",59.8%,"$25,028,457",40.2%
67,Taxi 2,"$60,726,164","$626,164",1%,"$60,100,000",99%
68,Keeping the Faith,"$59,945,183","$37,047,880",61.8%,"$22,897,303",38.2%
69,Next Friday,"$59,827,328","$57,328,603",95.8%,"$2,498,725",4.2%
70,The Flintstones in Viva Rock Vegas,"$59,468,275","$35,268,275",59.3%,"$24,200,000",40.7%
71,Little Nicky,"$58,292,295","$39,464,775",67.7%,"$18,827,520",32.3%
72,Pay It Forward,"$55,707,411","$33,519,628",60.2%,"$22,187,783",39.8%
73,Bounce,"$53,425,292","$36,805,288",68.9%,"$16,620,004",31.1%
74,Pitch Black,"$53,187,659","$39,240,659",73.8%,"$13,947,000",26.2%
75,Hanging Up,"$51,880,044","$36,050,230",69.5%,"$15,829,814",30.5%
76,The Skulls,"$50,802,120","$35,046,120",69%,"$15,756,000",31%
77,The Replacements,"$50,054,511","$44,737,059",89.4%,"$5,317,452",10.6%
78,Book of Shadows: Blair Witch 2,"$47,737,094","$26,437,094",55.4%,"$21,300,000",44.6%
79,Almost Famous,"$47,383,689","$32,534,850",68.7%,"$14,848,839",31.3%
80,The Watcher,"$47,267,829","$28,946,615",61.2%,"$18,321,214",38.8%
81,High Fidelity,"$47,126,295","$27,287,137",57.9%,"$19,839,158",42.1%
82,Dracula 2000,"$47,053,625","$33,022,767",70.2%,"$14,030,858",29.8%
83,The Gift,"$44,567,606","$12,008,642",26.9%,"$32,558,964",73.1%
84,Where the Heart Is,"$40,863,718","$33,772,838",82.6%,"$7,090,880",17.4%
85,Bless the Child,"$40,443,010","$29,381,494",72.6%,"$11,061,516",27.4%
86,The Art of War,"$40,400,425","$30,208,599",74.8%,"$10,191,826",25.2%
87,Dancer in the Dark,"$40,031,879","$4,184,036",10.5%,"$35,847,843",89.5%
88,The Legend of Bagger Vance,"$39,459,427","$30,919,168",78.4%,"$8,540,259",21.6%
89,Urban Legends: Final Cut,"$38,574,362","$21,468,807",55.7%,"$17,105,555",44.3%
90,The Original Kings of Comedy,"$38,182,790","$38,182,790",100%,-,-
91,Titan A.E.,"$36,754,634","$22,753,426",61.9%,"$14,001,208",38.1%
92,Return to Me,"$36,609,995","$32,722,798",89.4%,"$3,887,197",10.6%
93,My Dog Skip,"$35,547,761","$34,134,641",96%,"$1,413,120",4%
94,The Adventures of Rocky & Bullwinkle,"$35,134,820","$26,005,820",74%,"$9,129,000",26%
95,American Psycho,"$34,266,564","$15,070,285",44%,"$19,196,279",56%
96,Dungeons & Dragons,"$33,978,694","$15,391,970",45.3%,"$18,586,724",54.7%
97,Red Planet,"$33,463,969","$17,480,890",52.2%,"$15,983,079",47.8%
98,Wonder Boys,"$33,426,588","$19,393,557",58%,"$14,033,031",42%
99,Reindeer Games,"$32,168,970","$23,368,995",72.6%,"$8,799,975",27.4%
100,Lost Souls,"$31,355,910","$16,815,253",53.6%,"$14,540,657",46.4%
101,Small Time Crooks,"$29,934,477","$17,266,359",57.7%,"$12,668,118",42.3%
102,Battlefield Earth,"$29,725,663","$21,471,685",72.2%,"$8,253,978",27.8%
103,Nurse Betty,"$29,360,400","$25,170,054",85.7%,"$4,190,346",14.3%
104,Boiler Room,"$28,780,255","$16,970,581",59%,"$11,809,674",41%
105,The Little Vampire,"$27,965,865","$13,572,400",48.5%,"$14,393,465",51.5%
106,Love & Basketball,"$27,728,118","$27,459,615",99%,"$268,503",1%
107,Cirque du Soleil: Journey of Man,"$27,538,359","$15,627,434",56.7%,"$11,910,925",43.3%
108,Center Stage,"$26,385,941","$17,200,925",65.2%,"$9,185,016",34.8%
109,Saving Grace,"$26,330,482","$12,178,602",46.3%,"$14,151,880",53.7%
110,Boys and Girls,"$25,850,615","$21,799,652",84.3%,"$4,050,963",15.7%
111,Down to You,"$24,419,914","$20,069,008",82.2%,"$4,350,906",17.8%
112,The Next Best Thing,"$24,362,772","$14,990,582",61.5%,"$9,372,190",38.5%
113,Dr. T & the Women,"$22,844,291","$13,113,041",57.4%,"$9,731,250",42.6%
114,The Contender,"$22,361,811","$17,872,723",79.9%,"$4,489,088",20.1%
115,Michael Jordan to the Max,"$21,268,532","$18,650,521",87.7%,"$2,618,011",12.3%
116,Best in Show,"$20,789,556","$18,715,392",90%,"$2,074,164",10%
117,Thomas and the Magic Railroad,"$19,748,009","$15,933,506",80.7%,"$3,814,503",19.3%
118,Get Carter,"$19,412,993","$14,967,182",77.1%,"$4,445,811",22.9%
119,The Ninth Gate,"$18,661,336","$18,661,336",100%,-,-
120,Loser,"$18,404,706","$15,618,626",84.9%,"$2,786,080",15.1%
121,All the Pretty Horses,"$18,133,495","$15,540,353",85.7%,"$2,593,142",14.3%
122,Quills,"$17,989,227","$7,065,332",39.3%,"$10,923,895",60.7%
123,CyberWorld,"$16,653,900","$11,253,900",67.6%,"$5,400,000",32.4%
124,Digimon: The Movie,"$16,643,191","$9,631,153",57.9%,"$7,012,038",42.1%
125,The Dish,"$16,575,074","$2,552,992",15.4%,"$14,022,082",84.6%
126,Italian for Beginners,"$16,349,568","$4,544,753",27.8%,"$11,804,815",72.2%
127,Drowning Mona,"$15,906,764","$15,506,764",97.5%,"$400,000",2.5%
128,Highlander: Endgame,"$15,843,608","$12,811,858",80.9%,"$3,031,750",19.1%
129,Bait,"$15,471,969","$15,325,127",99.1%,"$146,842",0.9%
130,Supernova,"$14,828,081","$14,230,455",96%,"$597,626",4%
131,Malena,"$14,493,284","$3,448,233",23.8%,"$11,045,051",76.2%
132,I Dreamed of Africa,"$14,400,327","$6,651,522",46.2%,"$7,748,805",53.8%
133,What Planet Are You From?,"$14,145,677","$6,291,602",44.5%,"$7,854,075",55.5%
134,The Ladies Man,"$13,743,212","$13,616,610",99.1%,"$126,602",0.9%
135,Solarmax,"$13,400,161","$13,400,161",100%,-,-
136,The Crew,"$13,105,853","$13,023,075",99.4%,"$82,778",0.6%
137,The Way of the Gun,"$13,069,740","$6,055,661",46.3%,"$7,014,079",53.7%
138,In the Mood for Love,"$12,854,953","$2,738,980",21.3%,"$10,115,973",78.7%
139,Gossip,"$12,591,270","$5,108,820",40.6%,"$7,482,450",59.4%
140,Ready to Rumble,"$12,452,362","$12,394,327",99.5%,"$58,035",0.5%
141,The Legend of Drunken Master,"$11,555,430","$11,555,430",100%,-,-
142,You Can Count on Me,"$11,242,521","$9,416,804",83.8%,"$1,825,717",16.2%
143,Shadow of the Vampire,"$11,155,214","$8,293,784",74.3%,"$2,861,430",25.7%
144,Lucky Numbers,"$10,890,222","$10,042,516",92.2%,"$847,706",7.8%
145,Here on Earth,"$10,873,148","$10,522,168",96.8%,"$350,980",3.2%
146,Pollock,"$10,558,970","$8,598,593",81.4%,"$1,960,377",18.6%
147,Anatomy,"$10,501,958","$9,660",<0.1%,"$10,492,298",99.9%
148,The Virgin Suicides,"$10,409,377","$4,906,229",47.1%,"$5,503,148",52.9%
149,Woman on Top,"$10,194,274","$5,020,111",49.2%,"$5,174,163",50.8%
150,Godzilla 2000: Millennium,"$10,037,390","$10,037,390",100%,-,-
151,Whatever It Takes,"$9,902,115","$8,745,680",88.3%,"$1,156,435",11.7%
152,3 Strikes,"$9,832,166","$9,832,166",100%,-,-
153,Bread and Tulips,"$9,719,848","$5,318,679",54.7%,"$4,401,169",45.3%
154,Ghost Dog: The Way of the Samurai,"$9,380,473","$3,308,029",35.3%,"$6,072,444",64.7%
155,State and Main,"$9,206,279","$6,944,471",75.4%,"$2,261,808",24.6%
156,Before Night Falls,"$8,527,517","$4,242,892",49.8%,"$4,284,625",50.2%
157,Butterfly,"$7,733,894","$2,092,682",27.1%,"$5,641,212",72.9%
158,Ants in the Pants,"$7,625,967",-,-,"$7,625,967",100%
159,Requiem for a Dream,"$7,390,108","$3,635,482",49.2%,"$3,754,626",50.8%
160,Where the Money Is,"$7,243,669","$5,661,798",78.2%,"$1,581,871",21.8%
161,Screwed,"$7,201,701","$7,027,345",97.6%,"$174,356",2.4%
162,Widow of St. Pierre,"$7,193,889","$3,193,889",44.4%,"$4,000,000",55.6%
163,Croupier,"$7,075,068","$6,201,143",87.6%,"$873,925",12.4%
164,Duets,"$6,620,242","$4,739,023",71.6%,"$1,881,219",28.4%
165,Now or Never,"$5,995,963",-,-,"$5,995,963",100%
166,Black & White,"$5,541,431","$5,277,299",95.2%,"$264,132",4.8%
167,The in Crowd,"$5,280,035","$5,280,035",100%,-,-
168,The House of Mirth,"$5,164,404","$3,043,284",58.9%,"$2,121,120",41.1%
169,Otto - Der Katastrofenfilm,"$5,058,355",-,-,"$5,058,355",100%
170,Whipped,"$4,775,009","$4,159,986",87.1%,"$615,023",12.9%
171,Held Up,"$4,705,631","$4,705,631",100%,-,-
172,The Jungle Book 2000 Re-release,"$4,466,472",-,-,"$4,466,472",100%
173,The Tao of Steve,"$4,406,030","$4,342,203",98.6%,"$63,827",1.4%
174,Mohabbatein,"$4,279,351","$1,070,000",25%,"$3,209,351",75%
175,East Is East,"$4,177,818","$4,177,818",100%,-,-
176,Bossa Nova,"$4,069,261","$1,823,297",44.8%,"$2,245,964",55.2%
177,Erkan & Stefan,"$4,026,949",-,-,"$4,026,949",100%
178,Pettson & Findus - Katten och gubbens år,"$3,920,489",-,-,"$3,920,489",100%
179,Up at the Villa,"$3,740,113","$2,933,161",78.4%,"$806,952",21.6%
180,The Big Kahuna,"$3,728,888","$3,165,544",84.9%,"$563,344",15.1%
181,Price of Glory,"$3,548,556","$3,440,228",96.9%,"$108,328",3.1%
182,Gun Shy,"$3,221,280","$1,638,202",50.9%,"$1,583,078",49.1%
183,Beautiful,"$3,169,930","$3,157,348",99.6%,"$12,582",0.4%
184,Isn't She Great,"$3,003,296","$2,962,465",98.6%,"$40,831",1.4%
185,No More School,"$2,870,533",-,-,"$2,870,533",100%
186,Flickering Lights,"$2,760,019",-,-,"$2,760,019",100%
187,The Color of Paradise,"$2,724,595","$1,817,216",66.7%,"$907,379",33.3%
188,God's Army,"$2,637,726","$2,637,726",100%,-,-
189,But I'm a Cheerleader,"$2,595,216","$2,205,627",85%,"$389,589",15%
190,Bamboozled,"$2,463,650","$2,274,979",92.3%,"$188,671",7.7%
191,East/West,"$2,321,029","$2,321,029",100%,-,-
192,Shower,"$2,150,929","$1,157,764",53.8%,"$993,165",46.2%
193,Left Luggage,"$2,111,280","$1,069,540",50.7%,"$1,041,740",49.3%
194,Blood Simple 2000 Re-release,"$2,068,701","$1,701,855",82.3%,"$366,846",17.7%
195,Marlene,"$2,061,924",-,-,"$2,061,924",100%
